｜央视频道,#genre#
CCTV-1综合,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV-1综合,http://39.134.115.221:8080/PLTV/88888910/224/3221225630/index.m3u8
CCTV-1综合,http://39.134.115.221:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1综合,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV-1综合,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV-1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV-1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV-1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV-1综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1 综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV-1 综合,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8
CCTV-1 综合,http://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8
CCTV-1 综合,http://m.a1.gs/p/migu.php?id=cctv1
CCTV-2财经,http://125.210.152.19:9120/live/hzgq-cctv2gq-h264.m3u8
CCTV-2财经,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV-2财经,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV-2财经,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2财经,http://hls.yun.gehua.net.cn:8088/live/CCTV2HD_1200.m3u8
CCTV-2财经,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8
CCTV-3综艺,http://iptv.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV-3综艺,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv3HD/__op/default/__f//index.m3u8
CCTV-3综艺,http://125.210.152.19:9120/live/hzgq-cctv3gq-h264.m3u8
CCTV-3综艺,http://live.cooltv.top/tv/aishang.php?id=cctv3hd
CCTV-3综艺,http://39.134.115.221:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3综艺,http://39.134.115.221:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3综艺,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV-4中文国际,http://iptv.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV-4中文国际,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv4HD/__op/default/__f//index.m3u8
CCTV-4中文国际,http://125.210.152.19:9120/live/hzgq-cctv4gq-h264.m3u8
CCTV-4中文国际,http://live.cooltv.top/tv/aishang.php?id=cctv4hd
CCTV-4中文国际,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-4中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-5体育,http://iptv.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV-5体育,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5HD/__op/default/__f//index.m3u8
CCTV-5体育,http://125.210.152.19:9120/live/hzgq-cctv5gq-h264.m3u8
CCTV-5体育,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV-5体育,http://39.134.115.221:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5⁺体育赛事,http://125.210.152.19:9120/live/hzgq-cctvzhgq-h264.m3u8
CCTV-5⁺体育赛事,http://39.134.115.221:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5⁺体育赛事,http://xuehanwei.my03.com:8888/udp/239.253.92.82:8013
CCTV-5⁺体育赛事,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV-6电影,http://iptv.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV-6电影,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//index.m3u8
CCTV-6电影,http://125.210.152.19:9120/live/hzgq-cctv6gq-h264.m3u8
CCTV-6电影,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//index.m3u8
CCTV-6电影,http://39.134.115.221:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6电影,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV-6电影,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8
CCTV-7国防军事,http://iptv.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV-7国防军事,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv7HD/__op/default/__f//index.m3u8
CCTV-7国防军事,http://125.210.152.19:9120/live/hzgq-cctv7gq-h264.m3u8
CCTV-7国防军事,http://live.cooltv.top/tv/aishang.php?id=cctv7hd
CCTV-7国防军事,http://39.134.115.221:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7国防军事,http://39.134.115.221:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV-8电视剧,http://iptv.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV-8电视剧,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv8HD/__op/default/__f//index.m3u8
CCTV-8电视剧,http://125.210.152.19:9120/live/hzgq-cctv8gq-h264.m3u8
CCTV-8电视剧,http://live.cooltv.top/tv/aishang.php?id=cctv8hd
CCTV-8电视剧,http://39.134.115.221:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV-8电视剧,http://39.134.115.221:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8电视剧,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8
CCTV-8电视剧,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8电视剧,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225635/index.m3u8
CCTV-9纪录,http://iptv.cooltv.top/tv/aishang.php?id=cctv9hd2
CCTV-9纪录,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv9HD/__op/default/__f//index.m3u8
CCTV-9纪录,http://125.210.152.19:9120/live/hzgq-cctvjlgq-h264.m3u8
CCTV-9纪录,http://live.cooltv.top/tv/aishang.php?id=cctv9hd
CCTV-9纪录,http://39.134.115.221:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV-9纪录,http://39.134.115.221:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9纪录,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8
CCTV-9纪录,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV-10科教,http://iptv.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV-10科教,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv10HD/__op/default/__f//index.m3u8
CCTV-10科教,http://125.210.152.19:9120/live/hzgq-cctv10gq-h264.m3u8
CCTV-10科教,http://live.cooltv.top/tv/aishang.php?id=cctv10hd
CCTV-10科教,http://39.134.115.221:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-10科教,http://39.134.115.221:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV-11戏曲,http://iptv.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV-11戏曲,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv11HD/__op/default/__f//index.m3u8
CCTV-11戏曲,http://125.210.152.19:9120/live/hzgq-cctv11gq-h264.m3u8
CCTV-11戏曲,http://live.cooltv.top/tv/aishang.php?id=cctv11hd
CCTV-11戏曲,http://39.134.115.221:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-11戏曲,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-12社会与法,http://iptv.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV-12社会与法,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv12HD/__op/default/__f//index.m3u8
CCTV-12社会与法,http://125.210.152.19:9120/live/hzgq-cctv12gq-h264.m3u8
CCTV-12社会与法,http://live.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV-12社会与法,http://39.134.115.221:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV-13新闻,http://iptv.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV-13新闻,http://baidu.live.cqccn.com/__cl/cg:live/__c/CCTVNewsHD/__op/default/__f//index.m3u8
CCTV-13新闻,http://125.210.152.19:9120/live/hzgq-cctvnewsgq-h264.m3u8
CCTV-13新闻,http://39.134.115.221:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13新闻,http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV-13新闻,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?
CCTV-13新闻,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225638/index.m3u8
CCTV-13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-14少儿,http://iptv.cooltv.top/tv/aishang.php?id=cctv14hd
CCTV-14少儿,http://baidu.live.cqccn.com/__cl/cg:live/__c/cctvseHD/__op/default/__f//index.m3u8
CCTV-14少儿,http://125.210.152.19:9120/live/hzgq-cctvsegq-h264.m3u8
